id,price,sellDate,beds,baths,squareFeet,address
183,139395,"'2009-4-18'",3,6,,
185,814141,"'2008-6-17'",1,1,,
187,284261,"'2008-6-25'",5,3,,
189,799303,"'2009-2-4'",6,1,,
191,788413,"'2009-2-13'",5,1,,
193,154947,"'2009-10-26'",1,1,,
195,306950,"'2008-12-3'",4,5,,
197,650477,"'2004-12-21'",1,5,,
199,820991,"'2005-5-1'",5,1,,
201,509276,"'2009-11-20'",1,4,,
203,245009,"'2009-7-10'",2,2,,
205,452473,"'2009-3-24'",2,4,,
207,604196,"'2009-9-17'",3,1,,
209,822616,"'2010-2-17'",2,2,,
211,578996,"'2007-12-16'",2,1,,
213,753452,"'2006-2-26'",3,1,,
215,638589,"'2006-12-4'",1,4,,
217,744370,"'2007-9-19'",3,3,,
219,402885,"'2007-10-27'",1,5,,
221,623236,"'2004-6-4'",5,6,,
223,630686,"'2005-5-14'",5,6,,
225,795784,"'2004-11-5'",1,5,,
227,689348,"'2009-10-13'",4,1,,
229,962918,"'2008-2-15'",3,3,,
231,361390,"'2006-3-16'",4,3,,
233,570978,"'2004-6-10'",4,1,,
235,438520,"'2006-1-11'",6,6,,
237,488893,"'2005-5-10'",2,6,,
239,647607,"'2010-4-26'",2,6,,
241,876655,"'2005-7-18'",1,2,,
243,490179,"'2005-8-27'",5,3,,
245,538797,"'2005-2-17'",2,2,,
247,975171,"'2005-10-5'",2,2,,
249,189383,"'2009-5-27'",5,4,,
251,538407,"'2008-10-4'",6,1,,
253,180025,"'2005-6-19'",2,2,,
255,622737,"'2007-1-20'",3,5,,
257,990579,"'2010-5-14'",6,5,,
259,313086,"'2006-11-3'",3,6,,
261,829349,"'2010-3-8'",2,6,,
263,941705,"'2009-7-14'",2,5,,
265,145759,"'2005-2-4'",4,2,,
267,797042,"'2009-11-4'",2,4,,
269,450559,"'2005-8-7'",4,4,,
271,203168,"'2008-6-17'",2,6,,
273,420279,"'2007-5-30'",3,4,,
275,993892,"'2007-9-13'",1,1,,
277,116562,"'2008-10-12'",4,5,,
279,360850,"'2006-10-10'",2,1,,
281,705408,"'2006-9-11'",3,1,,
283,525915,"'2009-6-19'",1,6,,
285,171776,"'2005-4-30'",5,5,,
287,154402,"'2006-4-15'",2,6,,
289,905750,"'2007-8-7'",5,2,,
291,208064,"'2006-7-24'",4,2,,
293,660207,"'2007-7-20'",1,2,,
295,564754,"'2010-1-2'",3,3,,
297,367978,"'2010-1-21'",4,6,,
299,791018,"'2009-2-14'",5,6,,
301,540056,"'2007-9-6'",6,5,,
303,851205,"'2004-10-12'",6,5,,
305,400030,"'2005-3-9'",5,2,,
307,228311,"'2004-6-12'",6,4,,
309,106442,"'2004-10-18'",2,4,,
311,490337,"'2006-4-5'",6,1,,
313,668404,"'2010-1-8'",2,4,,
315,769002,"'2008-6-18'",3,1,,
317,731824,"'2004-10-3'",2,4,,
319,445688,"'2008-9-16'",2,5,,
321,876532,"'2005-3-19'",5,1,,
323,875135,"'2009-8-17'",4,5,,
325,364020,"'2004-11-9'",3,6,,
327,929583,"'2009-3-27'",2,3,,
329,592048,"'2009-10-24'",3,6,,
331,340339,"'2007-1-27'",4,4,,
333,628311,"'2007-3-31'",4,3,,
335,479171,"'2004-9-7'",4,3,,
337,813711,"'2008-6-10'",2,1,,
339,658926,"'2008-10-20'",6,2,,
341,765946,"'2004-7-10'",6,2,,
343,770818,"'2006-11-7'",4,2,,
345,258452,"'2009-8-7'",1,1,,
347,420372,"'2004-9-14'",6,2,,
349,223730,"'2009-6-29'",1,4,,
351,390387,"'2007-7-18'",3,1,,
353,979663,"'2008-12-4'",5,4,,
355,408793,"'2005-11-28'",5,5,,
357,933335,"'2006-2-16'",6,4,,
359,920140,"'2006-9-25'",5,1,,
361,454648,"'2008-2-5'",3,6,,
363,585863,"'2009-9-14'",2,1,,
365,141293,"'2008-3-11'",2,4,,
367,807403,"'2004-8-18'",3,2,,
369,310583,"'2006-11-4'",1,3,,
371,315120,"'2007-12-18'",2,4,,
373,848263,"'2005-6-22'",5,4,,
375,974517,"'2004-9-21'",2,2,,
377,696311,"'2009-12-8'",1,2,,
379,466483,"'2006-11-18'",1,5,,
381,286871,"'2006-1-22'",2,3,,
383,800380,"'2009-2-9'",6,1,,
385,258256,"'2008-3-2'",5,1,,
387,675971,"'2007-10-8'",5,1,,
389,911533,"'2004-9-13'",6,2,,
391,801281,"'2006-10-19'",3,4,,
393,251589,"'2008-2-1'",2,3,,
395,450990,"'2009-8-1'",5,1,,
397,552266,"'2010-5-10'",1,5,,
399,482991,"'2009-6-19'",3,4,,
401,567096,"'2009-9-13'",6,1,,
403,560686,"'2007-8-28'",5,4,,
405,580828,"'2007-4-10'",6,6,,
407,208672,"'2004-9-14'",2,4,,
409,836538,"'2006-1-7'",4,1,,
411,780897,"'2006-10-14'",4,4,,
413,737837,"'2006-2-13'",4,1,,
415,652629,"'2010-1-25'",3,2,,
417,511213,"'2006-1-21'",2,5,,
419,571687,"'2007-5-3'",2,4,,
421,182479,"'2008-9-11'",5,4,,
423,208503,"'2006-9-14'",3,2,,
425,681491,"'2009-11-5'",4,3,,
427,335867,"'2007-7-29'",2,4,,
429,650819,"'2008-7-14'",1,4,,
431,902209,"'2008-2-17'",1,5,,
433,806307,"'2008-9-21'",1,1,,
435,913542,"'2006-6-29'",6,2,,
437,775810,"'2008-4-15'",5,6,,
439,287727,"'2008-1-13'",6,4,,
441,317128,"'2004-8-24'",5,3,,
443,619583,"'2004-12-24'",2,4,,
445,663439,"'2005-6-17'",6,6,,
447,645197,"'2008-11-3'",2,3,,
449,166880,"'2004-12-11'",4,1,,
451,424675,"'2008-9-14'",6,6,,
453,427211,"'2008-5-18'",5,5,,
455,129884,"'2004-10-2'",6,4,,
457,334737,"'2004-7-27'",4,6,,
459,857231,"'2010-3-13'",3,5,,
461,167992,"'2007-1-16'",5,2,,
463,940701,"'2008-3-8'",3,5,,
465,264918,"'2006-7-2'",4,6,,
467,902678,"'2006-6-5'",3,4,,
469,978003,"'2006-7-10'",2,5,,
471,412322,"'2007-8-18'",1,2,,
473,364844,"'2004-7-5'",3,6,,
475,687096,"'2008-10-1'",6,5,,
477,419753,"'2004-7-8'",1,3,,
479,119036,"'2008-12-4'",6,1,,
481,217449,"'2009-3-3'",5,6,,
483,110657,"'2004-9-15'",3,6,,
485,259961,"'2008-10-3'",5,4,,
487,362224,"'2008-9-17'",1,3,,
489,815440,"'2005-5-24'",3,5,,
491,120647,"'2010-2-26'",3,1,,
493,429417,"'2006-6-12'",4,5,,
495,322981,"'2006-5-24'",2,5,,
497,375179,"'2008-9-14'",3,6,,
499,259563,"'2004-7-20'",2,5,,
501,381865,"'2005-12-27'",3,2,,
503,375224,"'2008-11-27'",2,3,,
505,374476,"'2007-3-3'",6,1,,
507,329715,"'2004-10-4'",4,3,,
509,733313,"'2008-6-14'",6,3,,
511,551915,"'2005-1-23'",2,5,,
513,584155,"'2010-4-11'",1,1,,
515,964406,"'2007-5-24'",3,1,,
517,844829,"'2009-1-11'",4,3,,
519,578130,"'2009-3-16'",1,6,,
521,996429,"'2008-6-10'",3,4,,
523,804951,"'2007-6-6'",2,3,,
525,164414,"'2010-1-27'",6,1,,
527,376003,"'2010-4-21'",4,4,,
529,290659,"'2007-7-1'",4,6,,
531,963596,"'2005-11-4'",5,5,,
533,782866,"'2006-3-4'",1,2,,
535,504615,"'2010-2-12'",6,6,,
537,785580,"'2010-5-1'",2,6,,
539,200943,"'2009-3-1'",2,6,,
541,659492,"'2008-12-19'",4,5,,
543,305576,"'2008-8-19'",4,4,,
545,877777,"'2006-10-11'",3,5,,
547,290250,"'2008-5-16'",1,4,,
549,190045,"'2009-9-30'",4,2,,
551,364713,"'2005-12-11'",6,3,,
553,516549,"'2005-1-19'",3,5,,
555,421120,"'2004-12-26'",6,1,,
557,959558,"'2005-3-10'",4,1,,
559,356733,"'2008-1-10'",3,6,,
561,386254,"'2005-3-13'",6,4,,
563,816959,"'2009-6-24'",4,1,,
565,900475,"'2008-2-11'",4,4,,
567,598275,"'2007-4-7'",6,6,,
569,609280,"'2009-8-21'",6,4,,
571,482650,"'2006-6-16'",5,3,,
573,737762,"'2008-5-24'",3,2,,
575,550782,"'2009-4-12'",5,2,,
577,283505,"'2008-8-28'",5,3,,
579,202013,"'2004-8-29'",2,4,,
581,398551,"'2005-2-10'",2,1,,
583,361023,"'2008-3-21'",1,1,,
585,496189,"'2005-1-10'",2,6,,
587,762030,"'2004-7-29'",3,4,,
589,327290,"'2009-3-20'",1,2,,
591,441886,"'2010-3-23'",2,3,,
593,553976,"'2009-7-16'",1,4,,
595,691801,"'2004-9-18'",5,2,,
597,121057,"'2006-3-12'",3,5,,
599,406239,"'2006-1-4'",3,1,,
601,915798,"'2009-7-10'",1,5,,
603,612470,"'2008-11-13'",1,6,,
605,608202,"'2007-2-17'",6,2,,
607,896705,"'2009-12-3'",1,4,,
609,638261,"'2008-1-9'",5,6,,
611,175304,"'2009-11-23'",1,2,,
613,806368,"'2009-1-26'",4,4,,
615,793959,"'2009-7-3'",5,2,,
617,382531,"'2004-11-26'",5,6,,
619,755863,"'2009-3-4'",3,3,,
621,497883,"'2006-10-29'",4,5,,
623,180095,"'2007-5-4'",1,3,,
625,745876,"'2009-6-25'",4,1,,
627,470863,"'2006-9-21'",6,1,,
629,890995,"'2004-12-30'",4,1,,
631,122953,"'2010-5-9'",2,6,,
633,822964,"'2007-3-17'",3,3,,
635,487773,"'2005-9-15'",1,3,,
637,916208,"'2008-12-10'",5,3,,
639,207078,"'2008-1-18'",4,2,,
641,772774,"'2008-4-24'",2,3,,
643,978478,"'2005-12-27'",4,3,,
645,728562,"'2004-12-18'",1,5,,
647,317356,"'2008-8-10'",3,3,,
649,797092,"'2009-8-5'",6,6,,
651,806592,"'2009-1-24'",1,3,,
653,443312,"'2006-6-24'",2,4,,
655,884954,"'2006-1-9'",4,6,,
657,497653,"'2008-10-1'",6,1,,
659,775265,"'2007-5-31'",1,4,,
661,892331,"'2008-5-18'",2,1,,
663,316508,"'2007-7-21'",2,1,,
665,341105,"'2008-7-14'",2,2,,
667,261129,"'2007-12-6'",5,2,,
669,242725,"'2007-1-6'",1,3,,
671,511633,"'2005-11-8'",5,2,,
673,224775,"'2005-7-21'",3,1,,
675,583464,"'2008-5-4'",5,3,,
677,913797,"'2006-10-20'",2,2,,
679,572787,"'2006-5-3'",4,4,,
681,398101,"'2010-2-11'",4,2,,
683,878324,"'2008-11-2'",2,2,,
685,227586,"'2008-1-13'",1,4,,
687,190600,"'2008-4-3'",3,2,,
689,985180,"'2008-5-26'",4,2,,
691,715765,"'2005-3-18'",1,3,,
693,600040,"'2009-12-9'",3,3,,
695,862511,"'2006-7-23'",2,5,,
697,352872,"'2007-3-31'",4,4,,
699,687356,"'2005-8-4'",3,6,,
701,451581,"'2008-9-22'",2,1,,
703,293390,"'2007-12-9'",5,6,,
705,514262,"'2008-2-4'",6,3,,
707,885422,"'2007-10-19'",5,4,,
709,100508,"'2009-12-30'",4,6,,
711,914641,"'2005-7-11'",1,3,,
713,349253,"'2005-12-9'",1,2,,
715,921044,"'2009-9-24'",4,6,,
717,337651,"'2009-5-16'",6,6,,
719,350473,"'2009-1-19'",1,4,,
721,894790,"'2009-10-22'",3,1,,
723,144759,"'2008-2-24'",2,1,,
725,439560,"'2007-8-2'",2,1,,
727,935647,"'2005-11-21'",5,6,,
729,128576,"'2004-8-21'",5,6,,
731,740466,"'2006-6-23'",1,2,,
733,286626,"'2007-1-4'",2,3,,
735,325102,"'2009-6-27'",1,6,,
737,615613,"'2006-5-16'",6,3,,
739,416838,"'2004-7-10'",2,1,,
741,826525,"'2004-11-27'",1,6,,
743,758475,"'2004-5-26'",4,4,,
745,138497,"'2006-8-20'",1,1,,
747,723279,"'2008-6-2'",6,6,,
749,329547,"'2005-12-18'",4,4,,
751,351124,"'2008-1-28'",1,1,,
753,633550,"'2005-6-26'",1,1,,
755,827532,"'2005-3-21'",1,5,,
757,390563,"'2010-1-31'",4,3,,
759,127496,"'2007-3-2'",1,5,,
761,831032,"'2005-12-19'",4,1,,
763,816041,"'2009-9-28'",1,1,,
765,834567,"'2005-3-11'",6,4,,
767,648771,"'2006-1-26'",5,4,,
769,452752,"'2006-12-19'",1,4,,
771,942155,"'2009-7-21'",2,6,,
773,918569,"'2005-7-31'",2,1,,
775,873145,"'2004-10-8'",6,5,,
777,795035,"'2009-7-16'",6,3,,
779,506083,"'2006-7-8'",3,3,,
781,508046,"'2004-9-6'",3,4,,
783,659162,"'2008-8-13'",2,3,,
785,821198,"'2008-9-18'",1,2,,
787,827878,"'2006-2-28'",4,5,,
789,711216,"'2007-2-12'",3,1,,
791,190231,"'2004-7-14'",2,3,,
793,115276,"'2006-6-8'",6,4,,
795,105975,"'2008-6-25'",2,6,,
797,844480,"'2008-6-19'",6,3,,
799,143278,"'2006-1-13'",1,5,,
801,572651,"'2009-10-11'",3,6,,
803,349390,"'2008-9-19'",5,4,,
805,179464,"'2005-8-30'",2,6,,
807,779107,"'2007-12-5'",5,3,,
809,771502,"'2006-7-13'",5,1,,
811,786085,"'2005-8-31'",3,3,,
813,136813,"'2004-6-11'",5,2,,
815,476026,"'2009-10-10'",3,6,,
817,441920,"'2005-1-15'",2,1,,
819,998483,"'2006-3-9'",3,5,,
821,100888,"'2006-1-8'",5,4,,
823,877146,"'2008-12-23'",2,4,,
825,823382,"'2006-7-9'",4,3,,
827,160064,"'2008-7-31'",3,6,,
829,664846,"'2005-5-11'",2,5,,
831,204438,"'2004-10-31'",6,1,,
833,858686,"'2008-10-3'",5,3,,
835,280381,"'2009-12-27'",6,1,,
837,468775,"'2010-4-13'",3,3,,
839,831175,"'2007-4-26'",3,3,,
841,550827,"'2007-3-25'",3,5,,
843,523979,"'2007-7-21'",5,5,,
845,779253,"'2008-6-23'",2,5,,
847,116054,"'2008-3-9'",3,6,,
849,550080,"'2010-4-13'",5,2,,
851,387781,"'2009-10-10'",4,5,,
853,832781,"'2005-10-7'",3,5,,
855,177250,"'2008-8-3'",6,1,,
857,140229,"'2004-12-14'",4,6,,
859,713164,"'2005-12-4'",5,4,,
861,422433,"'2008-8-7'",4,4,,
863,395047,"'2009-9-5'",3,1,,
865,972176,"'2004-7-8'",6,4,,
867,115240,"'2010-3-24'",2,1,,
869,412377,"'2006-4-1'",3,3,,
871,169279,"'2008-1-1'",5,5,,
873,577136,"'2005-3-28'",5,6,,
875,543892,"'2005-10-16'",2,5,,
877,477753,"'2009-11-13'",1,2,,
879,192813,"'2009-9-19'",4,6,,
881,809631,"'2007-5-22'",2,3,,
883,874266,"'2007-11-17'",3,6,,
885,349293,"'2008-6-11'",6,3,,
887,516139,"'2005-8-1'",3,3,,
889,335532,"'2007-4-16'",6,5,,
891,166889,"'2008-10-23'",6,2,,
893,254054,"'2006-2-7'",5,6,,
895,933954,"'2005-12-18'",6,3,,
897,558999,"'2010-3-2'",6,3,,
899,976107,"'2006-9-12'",2,5,,
901,442930,"'2009-8-27'",2,2,,
903,633882,"'2008-1-15'",1,5,,
905,635593,"'2005-4-25'",4,1,,
907,478197,"'2009-12-25'",2,3,,
909,726644,"'2005-7-21'",4,2,,
911,323290,"'2006-2-24'",1,2,,
913,746991,"'2009-7-18'",4,2,,
915,836829,"'2009-12-1'",1,1,,
917,250203,"'2004-7-25'",5,5,,
919,930444,"'2008-2-25'",1,4,,
921,431891,"'2004-10-3'",1,3,,
923,750021,"'2005-6-28'",4,3,,
925,796401,"'2009-1-18'",3,3,,
927,457885,"'2009-8-3'",6,5,,
929,230745,"'2009-2-3'",6,5,,
931,777609,"'2009-11-1'",4,3,,
933,166191,"'2009-3-11'",3,5,,
935,278934,"'2006-4-18'",5,6,,
937,113432,"'2004-10-12'",6,4,,
939,612871,"'2006-1-25'",2,6,,
941,895292,"'2006-2-10'",5,6,,
943,665194,"'2008-7-30'",6,5,,
945,669792,"'2005-10-19'",4,1,,
947,787598,"'2005-11-30'",1,5,,
949,352520,"'2005-10-24'",4,2,,
951,937525,"'2006-12-10'",1,4,,
953,467819,"'2006-3-6'",4,2,,
955,351266,"'2005-1-6'",1,6,,
957,631695,"'2007-7-4'",5,6,,
959,698055,"'2005-8-14'",3,6,,
961,397653,"'2006-8-18'",5,3,,
963,923523,"'2007-3-22'",4,1,,
965,694234,"'2008-9-2'",3,3,,
967,244682,"'2005-8-27'",6,2,,
969,504383,"'2007-11-13'",1,4,,
971,111657,"'2009-5-21'",4,2,,
973,918762,"'2008-1-30'",1,4,,
975,957983,"'2010-1-28'",1,1,,
977,320890,"'2010-4-18'",6,1,,
979,939884,"'2005-6-9'",2,6,,
981,423476,"'2007-4-12'",3,5,,
983,846072,"'2005-11-15'",2,1,,
985,504367,"'2009-7-19'",3,1,,
987,801666,"'2007-8-9'",5,3,,
989,220536,"'2007-11-23'",1,3,,
991,339070,"'2005-4-24'",1,6,,
993,887534,"'2010-1-17'",2,3,,
995,798705,"'2009-12-1'",6,6,,
997,936367,"'2009-8-21'",6,3,,
999,568640,"'2008-1-11'",3,6,,
